iter	Passed	Remaining
0	141	141240
1	146	72993
2	150	49857
3	151	37770
4	153	30549
5	155	25728
6	157	22280
7	158	19700
8	160	17696
9	162	16086
10	164	14831
11	166	13741
12	168	12816
13	170	12016
14	172	11314
15	174	10702
16	175	10166
17	177	9666
18	178	9212
19	179	8802
20	180	8435
21	182	8096
22	183	7788
23	184	7509
24	185	7247
25	187	7010
26	188	6787
27	189	6580
28	190	6387
29	192	6213
30	193	6045
31	194	5886
32	195	5738
33	197	5599
34	198	5465
35	199	5340
36	200	5222
37	202	5116
38	203	5010
39	204	4908
40	205	4816
41	207	4724
42	208	4636
43	209	4552
44	210	4471
45	211	4395
46	213	4321
47	214	4249
48	215	4183
49	216	4117
50	217	4055
51	219	3994
52	220	3937
53	221	3881
54	222	3828
55	223	3775
56	225	3726
57	226	3677
58	227	3630
59	228	3584
60	229	3539
61	231	3497
62	232	3455
63	233	3416
64	234	3377
65	235	3339
66	237	3303
67	237	3259
68	239	3225
69	240	3191
70	241	3159
71	242	3128
72	243	3096
73	245	3066
74	246	3036
75	247	3007
76	248	2980
77	249	2952
78	251	2926
79	252	2901
80	253	2875
81	254	2850
82	255	2826
83	257	2803
84	257	2775
85	259	2752
86	259	2726
87	261	2705
88	262	2684
89	263	2664
90	264	2644
91	265	2624
92	267	2606
93	268	2587
94	269	2568
95	270	2550
96	272	2532
97	273	2514
98	274	2497
99	275	2480
100	277	2465
101	277	2444
102	278	2428
103	280	2412
104	281	2397
105	282	2382
106	283	2367
107	284	2352
108	286	2338
109	287	2324
110	288	2310
111	289	2296
112	290	2283
113	292	2270
114	293	2257
115	294	2242
116	295	2230
117	296	2217
118	297	2204
119	298	2191
120	300	2180
121	301	2169
122	302	2154
123	303	2142
124	304	2131
125	305	2120
126	306	2109
127	307	2096
128	308	2085
129	310	2075
130	311	2064
131	312	2054
132	313	2045
133	314	2035
134	316	2025
135	317	2015
136	318	2005
137	319	1997
138	321	1990
139	322	1984
140	324	1978
141	326	1971
142	327	1962
143	328	1954
144	330	1946
145	331	1937
146	332	1929
147	333	1921
148	334	1912
149	336	1904
150	337	1896
151	338	1888
152	339	1880
153	340	1873
154	342	1865
155	343	1857
156	344	1850
157	345	1842
158	347	1835
159	348	1828
160	349	1820
161	350	1813
162	351	1806
163	353	1800
164	354	1793
165	355	1786
166	356	1779
167	357	1772
168	359	1766
169	360	1759
170	361	1754
171	363	1748
172	364	1741
173	365	1735
174	366	1729
175	368	1723
176	369	1717
177	370	1710
178	371	1704
179	372	1698
180	373	1690
181	374	1684
182	375	1678
183	377	1673
184	378	1667
185	379	1661
186	380	1656
187	382	1650
188	383	1644
189	384	1638
190	385	1633
191	386	1627
192	388	1622
193	389	1617
194	390	1612
195	391	1607
196	393	1602
197	394	1597
198	395	1591
199	396	1586
200	397	1581
201	399	1576
202	400	1571
203	401	1567
204	402	1561
205	404	1557
206	405	1552
207	406	1547
208	407	1542
209	408	1538
210	410	1533
211	411	1529
212	412	1524
213	413	1519
214	414	1515
215	416	1510
216	417	1505
217	418	1502
218	420	1498
219	421	1494
220	422	1489
221	423	1485
222	425	1480
223	426	1476
224	427	1472
225	428	1467
226	429	1463
227	430	1458
228	432	1454
229	433	1450
230	434	1446
231	435	1442
232	436	1438
233	438	1434
234	439	1430
235	440	1426
236	441	1421
237	442	1417
238	444	1413
239	445	1409
240	446	1405
241	447	1403
242	449	1400
243	450	1396
244	451	1392
245	453	1388
246	454	1385
247	455	1381
248	456	1377
249	457	1373
250	459	1370
251	460	1366
252	461	1362
253	462	1359
254	463	1355
255	465	1351
256	466	1348
257	467	1344
258	468	1341
259	470	1337
260	471	1334
261	472	1330
262	473	1327
263	474	1324
264	476	1320
265	477	1317
266	478	1314
267	479	1310
268	481	1307
269	482	1304
270	483	1300
271	484	1297
272	485	1293
273	487	1290
274	488	1287
275	489	1284
276	490	1280
277	491	1277
278	493	1274
279	494	1271
280	495	1267
281	496	1264
282	497	1261
283	499	1258
284	500	1255
285	501	1252
286	502	1248
287	503	1245
288	505	1242
289	506	1239
290	507	1236
291	508	1233
292	510	1230
293	511	1227
294	512	1224
295	513	1221
296	514	1218
297	516	1216
298	517	1213
299	518	1209
300	519	1207
301	520	1203
302	522	1201
303	523	1198
304	524	1195
305	525	1192
306	527	1189
307	528	1186
308	529	1183
309	530	1181
310	531	1178
311	533	1175
312	534	1172
313	535	1169
314	536	1166
315	537	1163
316	538	1161
317	540	1158
318	541	1155
319	542	1152
320	543	1149
321	544	1146
322	545	1144
323	547	1142
324	548	1139
325	549	1136
326	551	1134
327	552	1131
328	553	1128
329	554	1126
330	556	1123
331	557	1120
332	558	1118
333	559	1115
334	560	1113
335	561	1110
336	563	1107
337	564	1105
338	565	1102
339	566	1100
340	567	1097
341	569	1095
342	570	1092
343	571	1090
344	572	1087
345	573	1084
346	575	1082
347	576	1079
348	577	1077
349	578	1074
350	579	1072
351	581	1069
352	582	1067
353	583	1064
354	584	1062
355	585	1059
356	587	1057
357	588	1054
358	589	1052
359	590	1050
360	591	1047
361	593	1045
362	594	1042
363	595	1040
364	596	1038
365	597	1035
366	599	1033
367	600	1031
368	601	1028
369	602	1026
370	604	1024
371	605	1022
372	606	1019
373	607	1017
374	609	1015
375	610	1012
376	611	1010
377	612	1008
378	613	1005
379	615	1003
380	616	1001
381	617	999
382	618	996
383	620	994
384	621	992
385	622	990
386	623	987
387	624	985
388	626	983
389	627	981
390	628	978
391	629	976
392	630	974
393	632	972
394	633	969
395	634	967
396	635	965
397	636	963
398	638	961
399	639	958
400	640	956
401	641	954
402	642	952
403	644	950
404	645	948
405	647	946
406	648	944
407	649	942
408	650	940
409	651	938
410	653	935
411	654	933
412	655	931
413	657	930
414	658	927
415	659	925
416	660	923
417	661	921
418	663	919
419	664	917
420	665	915
421	667	913
422	668	911
423	669	909
424	670	907
425	671	905
426	673	903
427	674	901
428	675	899
429	677	897
430	678	896
431	680	894
432	682	893
433	683	891
434	684	889
435	685	887
436	687	885
437	688	883
438	689	881
439	690	879
440	692	877
441	693	875
442	694	873
443	695	871
444	697	869
445	698	867
446	699	865
447	700	863
