iter	Passed	Remaining
0	286	286158
1	287	143693
2	289	96181
3	290	72408
4	292	58229
5	294	48726
6	295	41932
7	297	36900
8	299	32993
9	301	29815
10	302	27206
11	304	25045
12	305	23208
13	307	21626
14	308	20282
15	311	19139
16	314	18205
17	316	17289
18	318	16469
19	321	15733
20	323	15065
21	326	14513
22	328	13957
23	330	13446
24	332	12975
25	335	12550
26	337	12147
27	353	12280
28	371	12424
29	379	12269
30	381	11931
31	384	11639
32	442	12958
33	444	12626
34	446	12310
35	449	12030
36	451	11748
37	457	11578
38	459	11321
39	461	11076
40	505	11833
41	507	11586
42	510	11350
43	511	11124
44	513	10907
45	515	10700
46	521	10571
47	523	10381
48	525	10198
49	527	10015
50	530	9876
51	532	9711
52	534	9545
53	566	9921
54	569	9777
55	570	9619
56	572	9468
57	573	9320
58	575	9176
59	579	9079
60	581	8950
61	583	8829
62	587	8738
63	589	8617
64	592	8529
65	596	8444
66	598	8331
67	599	8221
68	601	8116
69	603	8011
70	604	7905
71	605	7804
72	607	7714
73	609	7623
74	610	7529
75	611	7437
76	613	7351
77	614	7267
78	616	7184
79	617	7100
80	618	7018
81	619	6940
82	620	6859
83	624	6806
84	626	6742
85	627	6673
86	629	6602
87	630	6534
88	631	6468
89	633	6401
90	634	6338
91	635	6274
92	639	6234
93	640	6175
94	642	6117
95	644	6064
96	645	6009
97	646	5952
98	647	5897
99	649	5845
100	650	5792
101	653	5750
102	654	5703
103	656	5656
104	658	5609
105	659	5563
106	661	5518
107	662	5471
108	663	5427
109	665	5383
110	668	5352
111	670	5318
112	672	5278
113	674	5241
114	675	5200
115	677	5160
116	678	5121
117	679	5082
118	682	5053
119	684	5022
120	686	4987
121	688	4951
122	689	4915
123	690	4880
124	692	4845
125	693	4810
126	694	4775
127	697	4749
128	699	4723
129	701	4695
130	703	4664
131	704	4631
132	705	4600
133	707	4569
134	708	4538
135	709	4508
136	711	4484
137	714	4461
138	715	4433
139	717	4409
140	718	4380
141	719	4349
142	721	4322
143	722	4294
144	723	4268
145	725	4242
146	728	4225
147	730	4203
148	731	4179
149	733	4155
150	735	4135
151	736	4110
152	738	4086
153	739	4062
154	740	4039
155	743	4022
156	745	4003
157	747	3981
158	749	3963
159	751	3944
160	752	3920
161	753	3899
162	754	3876
163	758	3864
164	760	3848
165	762	3829
166	763	3810
167	765	3789
168	766	3768
169	767	3749
170	769	3728
171	771	3715
172	773	3698
173	775	3679
174	776	3661
175	777	3642
176	779	3622
177	780	3603
178	781	3584
179	782	3565
180	784	3548
181	786	3535
182	788	3519
183	789	3502
184	791	3487
185	793	3471
186	795	3457
187	796	3442
188	798	3426
189	800	3410
190	804	3407
191	808	3402
192	810	3388
193	811	3371
194	812	3355
195	814	3339
196	817	3331
197	819	3317
198	820	3303
199	822	3288
